"",""
"Action","Action"
"Add Article","Add Article"
"Add Category","Add Category"
"Add Child Category","Add Child Category"
"Add New Article Attribute","Add New Article Attribute"
"Add Root Category","Add Root Category"
"Add Tag","Add Tag"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the articles.","An error occurred while updating the articles."
"An error occurred while updating the categories.","An error occurred while updating the categories."
"An error occurred while updating the tags.","An error occurred while updating the tags."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Article Comment","Article Comment"
"Article Comments","Article Comments"
"Article Information","Article Information"
"Article comment","Article comment"
"Article was saved","Article was saved"
"Article was successfully deleted.","Article was successfully deleted."
"Article was successfully saved","Article was successfully saved"
"Article","Article"
"Articles","Articles"
"Assign category to article","Assign category to article"
"Assign tag to article","Assign tag to article"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Average Rating","Average Rating"
"CSV","CSV"
"Can't delete root category.","Can't delete root category."
"Categories","Categories"
"Category does not exist.","Category does not exist."
"Category move error","Category move error"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category subtree widget","Category subtree widget"
"Category subtree","Category subtree"
"Category was saved","Category was saved"
"Category was successfully deleted.","Category was successfully deleted."
"Category was successfully saved","Category was successfully saved"
"Category","Category"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Content","Content"
"Could not find article to delete.","Could not find article to delete."
"Could not find category to delete.","Could not find category to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find tag to delete.","Could not find tag to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Article Attribute","Delete Article Attribute"
"Delete Article comment","Delete Article comment"
"Delete Article","Delete Article"
"Delete Category","Delete Category"
"Delete File","Delete File"
"Delete Tag","Delete Tag"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Article '%s'","Edit Article '%s'"
"Edit Article Attribute ""%s""","Edit Article Attribute ""%s"""
"Edit Article Attribute","Edit Article Attribute"
"Edit Article comment '%s'","Edit Article comment '%s'"
"Edit Category '%s'","Edit Category '%s'"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving article","Error saving article"
"Error saving category","Error saving category"
"Error saving tag","Error saving tag"
"Excel","Excel"
"Expand All","Expand All"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Article Attributes","Manage Article Attributes"
